<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	09:00:00	1.90869	1.91194	1.90852	1.90885	4521	0	52
2015.01.02	10:00:00	1.90886	1.90962	1.90493	1.90674	5385	0	52
2015.01.02	11:00:00	1.90682	1.90772	1.90025	1.90076	6020	0	52
2015.01.02	12:00:00	1.90073	1.90099	1.89703	1.89903	5394	0	52
2015.01.02	13:00:00	1.89905	1.90180	1.89863	1.90110	5258	0	52
2015.01.02	14:00:00	1.90099	1.90209	1.89933	1.90134	5127	0	52
2015.01.02	15:00:00	1.90137	1.90286	1.90015	1.90099	5184	0	52
2015.01.02	16:00:00	1.90098	1.90125	1.89756	1.89823	5416	0	52
2015.01.02	17:00:00	1.89824	1.89828	1.89336	1.89356	6881	0	52
2015.01.02	18:00:00	1.89353	1.89389	1.89056	1.89208	6002	0	52
2015.01.02	19:00:00	1.89207	1.89346	1.89155	1.89285	3944	0	52
2015.01.02	20:00:00	1.89288	1.89366	1.89215	1.89319	2970	0	52
2015.01.02	21:00:00	1.89317	1.89321	1.88929	1.88939	2942	0	66
2015.01.02	22:00:00	1.88945	1.89441	1.88936	1.89329	3105	0	92
2015.01.02	23:00:00	1.89328	1.89757	1.89315	1.89315	2444	0	92
2015.01.05	00:00:00	1.89447	1.89464	1.87784	1.89051	5465	0	112
2015.01.05	01:00:00	1.89052	1.89652	1.89043	1.89408	6031	0	92
2015.01.05	02:00:00	1.89396	1.89420	1.88859	1.89118	4810	0	92
2015.01.05	03:00:00	1.89127	1.89378	1.88879	1.89282	4496	0	92
2015.01.05	04:00:00	1.89281	1.89413	1.88947	1.89405	3004	0	92
2015.01.05	05:00:00	1.89402	1.89747	1.89381	1.89702	3811	0	92
2015.01.05	06:00:00	1.89702	1.89750	1.89509	1.89606	3350	0	92
2015.01.05	07:00:00	1.89614	1.90120	1.89579	1.89840	4673	0	52
2015.01.05	08:00:00	1.89841	1.89983	1.89752	1.89871	4417	0	52
2015.01.05	09:00:00	1.89880	1.90021	1.89562	1.89951	5822	0	52
2015.01.05	10:00:00	1.89946	1.90041	1.89441	1.89456	6524	0	52
2015.01.05	11:00:00	1.89456	1.89553	1.89205	1.89240	6510	0	52
2015.01.05	12:00:00	1.89241	1.89418	1.89051	1.89259	6378	0	52
2015.01.05	13:00:00	1.89255	1.89392	1.89032	1.89190	5857	0	52
2015.01.05	14:00:00	1.89184	1.89191	1.88529	1.88610	6739	0	52
2015.01.05	15:00:00	1.88609	1.88620	1.88160	1.88262	6577	0	52
2015.01.05	16:00:00	1.88269	1.88339	1.88097	1.88202	6758	0	52
2015.01.05	17:00:00	1.88207	1.88554	1.88107	1.88182	6922	0	52
2015.01.05	18:00:00	1.88178	1.88228	1.87936	1.88167	6066	0	52
2015.01.05	19:00:00	1.88164	1.88365	1.88098	1.88141	4293	0	52
2015.01.05	20:00:00	1.88154	1.88487	1.88154	1.88401	4091	0	52
2015.01.05	21:00:00	1.88393	1.88513	1.88308	1.88502	2309	0	84
2015.01.05	22:00:00	1.88496	1.88677	1.88397	1.88533	2356	0	92
2015.01.05	23:00:00	1.88533	1.88626	1.88461	1.88573	2250	0	92
2015.01.06	00:00:00	1.88572	1.88665	1.88483	1.88610	2996	0	92
2015.01.06	01:00:00	1.88610	1.88618	1.88243	1.88373	3188	0	92
2015.01.06	02:00:00	1.88371	1.88646	1.87853	1.87864	3651	0	92
2015.01.06	03:00:00	1.87863	1.88183	1.87860	1.87977	3406	0	92
2015.01.06	04:00:00	1.87975	1.87980	1.87329	1.87530	4379	0	92
2015.01.06	05:00:00	1.87529	1.87672	1.87466	1.87528	2422	0	92
2015.01.06	06:00:00	1.87529	1.87778	1.87495	1.87731	3227	0	92
2015.01.06	07:00:00	1.87738	1.87753	1.87344	1.87393	4497	0	52
2015.01.06	08:00:00	1.87392	1.87429	1.87148	1.87241	4910	0	52
2015.01.06	09:00:00	1.87245	1.87600	1.87242	1.87403	5424	0	52
2015.01.06	10:00:00	1.87402	1.87499	1.87202	1.87375	6840	0	52
2015.01.06	11:00:00	1.87374	1.87390	1.86606	1.86943	7176	0	52
2015.01.06	12:00:00	1.86940	1.86955	1.86686	1.86770	5741	0	52
2015.01.06	13:00:00	1.86771	1.86987	1.86504	1.86914	5825	0	52
2015.01.06	14:00:00	1.86912	1.87091	1.86710	1.86768	5613	0	52
2015.01.06	15:00:00	1.86767	1.86830	1.86485	1.86796	6970	0	52
2015.01.06	16:00:00	1.86793	1.87110	1.86510	1.86728	6923	0	52
2015.01.06	17:00:00	1.86728	1.87035	1.86539	1.86915	8280	0	52
2015.01.06	18:00:00	1.86914	1.87156	1.86760	1.86928	7975	0	52
2015.01.06	19:00:00	1.86929	1.87313	1.86873	1.87124	7017	0	52
2015.01.06	20:00:00	1.87122	1.87176	1.86988	1.87107	5260	0	52
2015.01.06	21:00:00	1.87100	1.87113	1.86836	1.86982	3329	0	84
2015.01.06	22:00:00	1.86981	1.87204	1.86870	1.87108	3417	0	92
2015.01.06	23:00:00	1.87110	1.87366	1.87069	1.87321	2972	0	92
2015.01.07	00:00:00	1.87321	1.87607	1.86792	1.87497	4590	0	92
2015.01.07	01:00:00	1.87497	1.87500	1.87226	1.87311	3330	0	92
2015.01.07	02:00:00	1.87309	1.87766	1.87298	1.87659	3381	0	92
2015.01.07	03:00:00	1.87657	1.87768	1.87449	1.87513	3451	0	92
2015.01.07	04:00:00	1.87511	1.87649	1.87378	1.87596	2594	0	92
2015.01.07	05:00:00	1.87597	1.87649	1.87353	1.87511	2756	0	92
2015.01.07	06:00:00	1.87512	1.87564	1.87405	1.87468	2939	0	92
2015.01.07	07:00:00	1.87489	1.87645	1.87312	1.87534	4149	0	52
2015.01.07	08:00:00	1.87535	1.87751	1.87463	1.87617	4485	0	52
2015.01.07	09:00:00	1.87616	1.87713	1.87459	1.87522	5979	0	52
2015.01.07	10:00:00	1.87523	1.87781	1.87285	1.87467	6874	0	52
2015.01.07	11:00:00	1.87466	1.87504	1.87144	1.87498	6925	0	52
2015.01.07	12:00:00	1.87503	1.87633	1.87301	1.87575	7436	0	52
2015.01.07	13:00:00	1.87576	1.87576	1.87223	1.87345	6621	0	52
2015.01.07	14:00:00	1.87345	1.87443	1.87209	1.87352	5669	0	52
2015.01.07	15:00:00	1.87351	1.87548	1.87197	1.87494	7088	0	52
2015.01.07	16:00:00	1.87495	1.87573	1.87304	1.87419	7300	0	52
2015.01.07	17:00:00	1.87419	1.87602	1.87281	1.87301	7162	0	52
2015.01.07	18:00:00	1.87303	1.87434	1.87172	1.87247	6684	0	52
2015.01.07	19:00:00	1.87246	1.87365	1.87083	1.87365	4800	0	52
2015.01.07	20:00:00	1.87366	1.87422	1.87246	1.87307	4753	0	52
2015.01.07	21:00:00	1.87320	1.87648	1.86912	1.87097	6788	0	92
2015.01.07	22:00:00	1.87095	1.87293	1.87069	1.87152	3478	0	92
2015.01.07	23:00:00	1.87151	1.87211	1.86914	1.86962	2593	0	92
2015.01.08	00:00:00	1.86959	1.87148	1.86901	1.86996	3388	0	92
2015.01.08	01:00:00	1.86995	1.87091	1.86868	1.87030	3329	0	92
2015.01.08	02:00:00	1.87029	1.87029	1.86420	1.86621	4164	0	92
2015.01.08	03:00:00	1.86622	1.86623	1.86327	1.86484	3342	0	92
2015.01.08	04:00:00	1.86483	1.86554	1.86379	1.86479	2547	0	92
2015.01.08	05:00:00	1.86478	1.86539	1.85955	1.86034	3267	0	92
2015.01.08	06:00:00	1.86035	1.86132	1.85952	1.86027	2177	0	92
2015.01.08	07:00:00	1.86028	1.86122	1.85926	1.85931	3818	0	52
2015.01.08	08:00:00	1.85930	1.86171	1.85929	1.86123	3776	0	52
2015.01.08	09:00:00	1.86122	1.86259	1.85842	1.85936	5278	0	52
2015.01.08	10:00:00	1.85938	1.85943	1.85288	1.85324	7170	0	52
2015.01.08	11:00:00	1.85323	1.85576	1.85243	1.85575	6328	0	52
2015.01.08	12:00:00	1.85575	1.86051	1.85485	1.85843	6284	0	52
2015.01.08	13:00:00	1.85846	1.85891	1.85579	1.85672	5130	0	52
2015.01.08	14:00:00	1.85677	1.85893	1.85607	1.85761	6310	0	52
2015.01.08	15:00:00	1.85762	1.86073	1.85699	1.85910	6272	0	52
2015.01.08	16:00:00	1.85907	1.86107	1.85786	1.85895	6659	0	52
2015.01.08	17:00:00	1.85891	1.85979	1.85698	1.85978	6838	0	52
2015.01.08	18:00:00	1.85979	1.86055	1.85842	1.86020	6489	0	52
2015.01.08	19:00:00	1.86017	1.86036	1.85819	1.85921	4335	0	52
2015.01.08	20:00:00	1.85921	1.86066	1.85855	1.86004	3769	0	52
2015.01.08	21:00:00	1.85991	1.86149	1.85936	1.85958	2969	0	84
2015.01.08	22:00:00	1.85954	1.85985	1.85824	1.85837	1924	0	92
