<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	09:00:00	187.143	187.297	187.083	187.135	4677	0	43
2015.01.02	10:00:00	187.136	187.245	186.748	186.882	6511	0	43
2015.01.02	11:00:00	186.880	187.004	186.247	186.370	7238	0	43
2015.01.02	12:00:00	186.371	186.391	185.911	185.986	5746	0	43
2015.01.02	13:00:00	185.992	186.131	185.832	185.987	5548	0	43
2015.01.02	14:00:00	185.983	186.118	185.790	186.064	5646	0	43
2015.01.02	15:00:00	186.064	186.140	185.850	185.918	5551	0	43
2015.01.02	16:00:00	185.918	186.019	185.709	185.775	6622	0	40
2015.01.02	17:00:00	185.771	185.771	184.781	184.942	8989	0	43
2015.01.02	18:00:00	184.941	184.959	184.293	184.613	7760	0	43
2015.01.02	19:00:00	184.612	184.862	184.541	184.634	5154	0	42
2015.01.02	20:00:00	184.639	184.733	184.577	184.688	3564	0	43
2015.01.02	21:00:00	184.675	184.757	184.487	184.500	2917	0	77
2015.01.02	22:00:00	184.506	184.753	184.405	184.694	3107	0	85
2015.01.02	23:00:00	184.692	184.764	184.555	184.594	2032	0	80
2015.01.05	00:00:00	184.307	184.319	182.778	184.024	5173	0	90
2015.01.05	01:00:00	184.026	184.279	183.787	183.981	4752	0	80
2015.01.05	02:00:00	183.982	184.246	183.670	184.077	6148	0	80
2015.01.05	03:00:00	184.074	184.220	183.940	184.215	4621	0	85
2015.01.05	04:00:00	184.216	184.216	183.910	183.971	2918	0	85
2015.01.05	05:00:00	183.966	184.353	183.913	184.339	3567	0	80
2015.01.05	06:00:00	184.336	184.395	184.154	184.242	3058	0	81
2015.01.05	07:00:00	184.241	184.342	183.925	184.025	4594	0	43
2015.01.05	08:00:00	184.027	184.126	183.901	183.940	4485	0	43
2015.01.05	09:00:00	183.947	184.247	183.845	184.038	6006	0	43
2015.01.05	10:00:00	184.031	184.356	184.031	184.160	7927	0	43
2015.01.05	11:00:00	184.168	184.238	183.844	183.979	7654	0	43
2015.01.05	12:00:00	183.978	184.055	183.718	183.738	7016	0	43
2015.01.05	13:00:00	183.739	183.786	183.399	183.443	6668	0	43
2015.01.05	14:00:00	183.443	183.465	182.732	182.793	7640	0	43
2015.01.05	15:00:00	182.795	182.814	182.180	182.208	8240	0	43
2015.01.05	16:00:00	182.211	182.365	181.901	181.970	8978	0	43
2015.01.05	17:00:00	181.972	182.338	181.696	182.241	9259	0	43
