<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	08:00:00	120.401	120.507	120.313	120.409	5431	6555669000	1
2015.01.02	12:00:00	120.409	120.655	120.379	120.605	6211	7848741000	1
2015.01.02	16:00:00	120.606	120.741	119.808	120.234	12390	15135227000	1
2015.01.02	20:00:00	120.234	120.527	120.209	120.419	5569	6506948000	1
2015.01.05	00:00:00	120.363	120.597	119.979	120.401	11118	12855157000	1
2015.01.05	04:00:00	120.400	120.643	120.234	120.400	9733	13319692000	1
2015.01.05	08:00:00	120.407	120.511	120.130	120.212	11063	15485940000	1
2015.01.05	12:00:00	120.212	120.431	119.757	119.824	12968	17672467000	1
2015.01.05	16:00:00	119.824	119.836	119.373	119.607	16910	22903419000	1
2015.01.05	20:00:00	119.610	119.791	119.491	119.626	7717	9297903000	1
2015.01.06	00:00:00	119.592	119.639	119.159	119.445	8378	10591602000	1
2015.01.06	04:00:00	119.444	119.444	118.885	118.958	8717	11683204000	1
2015.01.06	08:00:00	118.957	119.237	118.652	118.838	13370	17768395000	1
2015.01.06	12:00:00	118.836	119.390	118.747	119.001	13344	17617559000	1
2015.01.06	16:00:00	119.002	119.196	118.053	118.481	18950	23592845000	1
2015.01.06	20:00:00	118.473	118.812	118.084	118.290	11690	13387054000	1
2015.01.07	00:00:00	118.290	119.006	118.290	119.000	8682	10730981000	1
2015.01.07	04:00:00	119.002	119.167	118.805	118.872	8075	11082163000	1
2015.01.07	08:00:00	118.871	119.252	118.695	118.831	12218	16691210000	1
2015.01.07	12:00:00	118.833	119.546	118.765	119.406	15075	20165729000	1
2015.01.07	16:00:00	119.406	119.647	119.295	119.487	18293	24207392000	1
2015.01.07	20:00:00	119.488	119.523	118.843	119.241	19156	125500000	4
2015.01.08	00:00:00	119.240	119.708	119.152	119.684	13339	0	13
2015.01.08	04:00:00	119.682	119.813	119.598	119.698	11638	0	9
2015.01.08	08:00:00	119.697	119.956	119.675	119.751	13857	11663356000	1
2015.01.08	12:00:00	119.751	119.896	119.421	119.453	13488	18425648000	1
2015.01.08	16:00:00	119.457	119.728	119.382	119.523	16963	23406754000	1
2015.01.08	20:00:00	119.523	119.765	119.491	119.619	9159	12131440000	1
2015.01.09	00:00:00	119.559	119.875	119.470	119.572	8298	10525538000	1
2015.01.09	04:00:00	119.570	119.632	119.164	119.328	8013	11313641000	1
2015.01.09	08:00:00	119.330	119.490	119.285	119.328	11789	12654540000	1
