Designator,Mid X,Mid Y,Layer,Rotation
U1,25.9000,39.2000,top,0.0
J1,10.0000,32.4000,top,0.0
R4,3.9000,36.4000,top,0.0
R5,7.7000,36.4000,top,0.0
C1,3.9000,38.9000,top,0.0
C2,7.7000,38.9000,top,0.0
R2,3.9000,41.4000,top,0.0
R3,7.7000,41.4000,top,0.0
R1,13.5000,36.4000,top,90.0
J3,13.5000,40.6000,top,0.0
J2,13.5000,45.0000,top,0.0
J4,24.6000,38.9000,bottom,0.0
TP1,6.5000,48.0000,top,0.0
TP2,8.5000,48.0000,top,0.0
TP3,10.5000,48.0000,top,0.0
TP4,12.5000,48.0000,top,0.0
TP5,10.5000,45.2000,top,0.0
# 座標系は Gerber と同一（筐体座標 x右/y上）。原点は body 外形の左下。
